"id","titulopincipal","titulooriginal","anolancamento","tempominutos","genero","notamedia","numerovotos","generoartista","personagem","nomeartista","anonascimento","anofalecimento","profissao","titulosmaisconhecidos"
"tt0478031","Sevdigim usak","Sevdigim usak","1971","\N","Romance","6.7","23","actress","\N","Zuhal Aktan","1950","\N","actress","tt0469600,tt0289509,tt0468260,tt0274931"
"tt0478031","Sevdigim usak","Sevdigim usak","1971","\N","Romance","6.7","23","actor","Usak Ihsan","Sadri Alisik","1925","1995","actor,soundtrack,music_department","tt0466658,tt0287319,tt0182503,tt0185853"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actress","\N","Gülten Ceylan","1946","\N","actress","tt0252591,tt14301190,tt15428908,tt2261451"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actress","\N","Nedret Güvenç","1930","2021","actress","tt0333717,tt5439876,tt0302104,tt0208842"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actor","\N","Hasan Ceylan","1922","1980","actor","tt0181947,tt2548164,tt1721145,tt0057076"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actor","\N","Hayati Hamzaoglu","1933","2000","actor,producer","tt0278355,tt0447484,tt0279187,tt0278527"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actress","Asli","Fatma Girik","1942","2022","actress,producer,writer","tt0260404,tt0279174,tt0076201,tt0345209"
"tt0478370","Kerem ile Asli","Kerem ile Asli","1971","77","Romance","6.2","79","actor","\N","Arap Celal","1922","1993","actor","tt0252597,tt0337526,tt0479251,tt0184046"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actress","\N","Aynur Aydan","1946","\N","actress","tt0182731,tt0438236,tt0469542,tt5547116"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actor","\N","Ali Sen","1918","1989","actor","tt0253779,tt0066801,tt0264191,tt0183046"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actor","Kemal Ersan","Cüneyt Arkin","1937","2022","actor,writer,director","tt0280896,tt0183784,tt0183597,tt0182060"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actor","\N","Sami Ayanoglu","1913","1971","actor,director,writer","tt0320499,tt0324617,tt0326754,tt0407750"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actor","\N","Atif Kaptan","1908","1977","actor","tt14301190,tt0261715,tt0279633,tt0319691"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actress","\N","Gülistan Güzey","1927","1987","actress","tt0318857,tt0261771,tt0313840,tt0345511"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actress","\N","Nur Alpan","\N","\N","actress","tt0479387,tt0389107"
"tt0479387","Fakir asiklarin romani","Fakir asiklarin romani","1971","55","Romance","4.7","31","actor","\N","Necdet Mahfi Ayral","1908","2004","actor,writer","tt0303700,tt0178272,tt0116231,tt0179543"
"tt0479657","Embrace Your Shadow","Dzi oi","2005","102","Romance","7.2","58","actress","Shiayou","Ching-yu Cheung","\N","\N","actress","tt0479657,tt1245094"
"tt0479657","Embrace Your Shadow","Dzi oi","2005","102","Romance","7.2","58","actor","Juchin","Dylan Kuo","1977","\N","actor","tt4886042,tt0781392,tt2238032,tt1135983"
"tt0479657","Embrace Your Shadow","Dzi oi","2005","102","Romance","7.2","58","actress","\N","Wai-Ling Chan","\N","\N","actress","tt5890278,tt0472458,tt0111679,tt0479657"
"tt0479657","Embrace Your Shadow","Dzi oi","2005","102","Romance","7.2","58","actress","Ran","Fiona Sit","1981","\N","actress","tt1517633,tt0457004,tt4074114,tt2168166"
"tt0481129","The Greatest Love of All","O Maior Amor do Mundo","2006","106","Romance","6.5","276","actress","Luciana","Taís Araújo","1978","\N","actress,soundtrack","tt0138277,tt2372755,tt0809665,tt0407377"
"tt0481129","The Greatest Love of All","O Maior Amor do Mundo","2006","106","Romance","6.5","276","actor","Maestro","Sérgio Britto","1923","2011","actor,director,writer","tt0209650,tt0209726,tt0209701,tt0209786"
