id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos,generoartista,nomeartista,profissao
tt0488316,Mazaa Mazaa,Mazaa Mazaa,2005,99,Romance,3.1,73,actress,Camila Bordonaba,"actress,soundtrack,composer"
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actor,In-gi Jeong,actor
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actress,Ji-Sook Kim,actress
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actor,Myeong-gap Jang,actor
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actress,Mi-seon Jeon,actress
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actor,Yu-seok Kim,actor
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actor,Hyun-Sung Jang,"actor,soundtrack"
tt0488807,Yeonae,Yeonae,2005,100,Romance,6.3,96,actress,Yun-hong Oh,"actress,director,writer"
tt0489590,Miracle in Four Days,Yokkakan no kiseki,2005,118,Romance,7.2,30,actor,Renji Ishibashi,actor
tt0489590,Miracle in Four Days,Yokkakan no kiseki,2005,118,Romance,7.2,30,actor,Mitsuru Hirata,"actor,soundtrack"
tt0489590,Miracle in Four Days,Yokkakan no kiseki,2005,118,Romance,7.2,30,actress,Asako Kobayashi,actress
tt0489590,Miracle in Four Days,Yokkakan no kiseki,2005,118,Romance,7.2,30,actress,Yuriko Ishida,actress
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actress,Himani Shivpuri,actress
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actor,Rahul Roy,"actor,producer"
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actor,Manish Mathur,actor
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actor,Prithvi Zutshi,actor
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actress,Janki Shah,actress
tt0490454,Meri Aashiqui,Meri Aashiqui,2005,\N,Romance,5.5,24,actress,Mreega Sakalni,
tt0490519,Xin lian,Xin lian,2004,108,Romance,5.7,15,actress,Niki Wu,"actress,soundtrack"
tt0490519,Xin lian,Xin lian,2004,108,Romance,5.7,15,actor,Yung-Chih Chang,actor
tt0490519,Xin lian,Xin lian,2004,108,Romance,5.7,15,actor,Yo-Wei Lin,"actor,soundtrack"
tt0490519,Xin lian,Xin lian,2004,108,Romance,5.7,15,actress,Tarcy Su,"actress,soundtrack"
tt0490784,Reflections,Ai li si de jing zi,2005,87,Romance,6.4,36,actress,Gin Oy,"actress,miscellaneous"
tt0490784,Reflections,Ai li si de jing zi,2005,87,Romance,6.4,36,actress,Yi-Ching Lu,actress
tt0490784,Reflections,Ai li si de jing zi,2005,87,Romance,6.4,36,actress,Nikki Hsieh,actress
tt0490784,Reflections,Ai li si de jing zi,2005,87,Romance,6.4,36,actor,Jack Kao,"actor,writer"
tt0490784,Reflections,Ai li si de jing zi,2005,87,Romance,6.4,36,actor,Chun-hao Tuan,actor
tt0490970,Henshin,Henshin,2005,108,Romance,4.8,57,actress,Yû Aoi,actress
tt0490970,Henshin,Henshin,2005,108,Romance,4.8,57,actor,Satoshi Matsuda,actor
tt0490970,Henshin,Henshin,2005,108,Romance,4.8,57,actor,Kazuo Kitamura,actor
tt0490970,Henshin,Henshin,2005,108,Romance,4.8,57,actress,Mayumi Sada,actress
tt0491136,Sayonara Midori-chan,Sayonara Midori-chan,2005,98,Romance,6.8,54,actor,Toshinobu Matsuo,actor
tt0491136,Sayonara Midori-chan,Sayonara Midori-chan,2005,98,Romance,6.8,54,actress,Mari Hoshino,actress
tt0491136,Sayonara Midori-chan,Sayonara Midori-chan,2005,98,Romance,6.8,54,actress,Sayuri Oyamada,actress
tt0491136,Sayonara Midori-chan,Sayonara Midori-chan,2005,98,Romance,6.8,54,actress,Mayuko Iwasa,actress
tt0491136,Sayonara Midori-chan,Sayonara Midori-chan,2005,98,Romance,6.8,54,actor,Hidetoshi Nishijima,actor
tt0491322,Beni Unutma,Beni Unutma,1982,\N,Romance,5.9,14,actor,Bulut Aras,actor
tt0491322,Beni Unutma,Beni Unutma,1982,\N,Romance,5.9,14,actor,Münir Özkul,"actor,assistant_director"
tt0491322,Beni Unutma,Beni Unutma,1982,\N,Romance,5.9,14,actor,Ahmet Mekin,actor
tt0491322,Beni Unutma,Beni Unutma,1982,\N,Romance,5.9,14,actress,Serpil Çakmakli,actress
tt0491322,Beni Unutma,Beni Unutma,1982,\N,Romance,5.9,14,actor,Hulusi Kentmen,actor
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actor,Ferdi Akarnur,actor
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actor,Özkan Yilmaz,"actor,producer"
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actor,Tarik Tarcan,actor
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actor,Orçun Sonat,actor
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actor,Mesut Çakarli,actor
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actress,Hülya Koçyigit,actress
tt0491927,Bir Kadin,Bir Kadin,1991,85,Romance,4.6,37,actress,Meltem Savci,"actress,miscellaneous,writer"
