id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0468649,Animusu anima,Animusu anima,2005,97,Romance,5.7,33
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469556,Sampiyon,Sampiyon,1970,66,Romance,6.6,37
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469601,Son nefes,Son nefes,1970,70,Romance,4.8,14
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42
tt0469617,Tatli hayâl,Tatli hayâl,1970,\N,Romance,6.2,42
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52
tt0470192,Aham Premasmi,Aham Premasmi,2005,\N,Romance,5.7,52
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26
tt0470304,The Unusual Youth,Fei seung ching chun kei,2005,99,Romance,5.4,26
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66
tt0470417,Küçük hanimin soförü,Küçük hanimin soförü,1970,89,Romance,6.7,66
